2018-07-27 16:34:21.219 INFO  FrameworkServlet 'webmvc': initialization started
2018-07-27 16:34:21.251 INFO  Refreshing WebApplicationContext for namespace 'webmvc-servlet': startup date [Fri Jul 27 16:34:21 CST 2018]; root of context hierarchy
2018-07-27 16:34:21.301 INFO  Loading XML bean definitions from ServletContext resource [/WEB-INF/webmvc-servlet.xml]
2018-07-27 16:34:25.958 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common.xml]
2018-07-27 16:34:26.007 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-common-extends.xml]
2018-07-27 16:34:26.060 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-interceptor.xml]
2018-07-27 16:34:26.141 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-quartz-dayend-manage.xml]
2018-07-27 16:34:26.154 INFO  Loading XML bean definitions from class path resource [META-INF/spring/spr-redis-beans.xml]
2018-07-27 16:34:26.206 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-client.xml]
2018-07-27 16:34:26.217 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-client-gateway.xml]
2018-07-27 16:34:26.236 INFO  Loading XML bean definitions from class path resource [META-INF/remote/rm-client-schedule.xml]
2018-07-27 16:34:28.551 INFO  Loading properties file from class path resource [placeholder.properties]
2018-07-27 16:34:38.110 INFO  HV000001: Hibernate Validator 5.1.3.Final
2018-07-27 16:34:48.393 INFO  Using default implementation for ThreadExecutor
2018-07-27 16:34:48.442 INFO  Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2018-07-27 16:34:48.443 INFO  Quartz Scheduler v.2.2.1 created.
2018-07-27 16:34:48.446 INFO  RAMJobStore initialized.
2018-07-27 16:34:48.448 INFO  Scheduler meta-data: Quartz Scheduler (v2.2.1) 'schedulerFactoryBean' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2018-07-27 16:34:48.449 INFO  Quartz scheduler 'schedulerFactoryBean' initialized from an externally provided properties instance.
2018-07-27 16:34:48.449 INFO  Quartz scheduler version: 2.2.1
